shutter_time,counts
1.11333e-05,6026
2.22667e-05,5981
3.34e-05,6036
4.45333e-05,5989
5.56667e-05,5975
6.68e-05,5999
7.79333e-05,5969
8.90667e-05,5985
0.0001002,5936
0.000111333,5940
0.000122467,5984
0.0001336,5970
0.000144733,5939
0.000155867,5968
0.000167,5982
0.000178133,6013
0.000189267,6009
0.0002004,6061
0.000211533,6119
0.000222667,6188
0.0002338,6220
0.000244933,6298
0.000256067,6304
0.0002672,6439
0.000278333,6502
0.000289467,6579
0.0003006,6689
0.000311733,6769
0.000322867,6920
0.000334,6970
0.000345133,7168
0.000356267,7231
0.0003674,7404
0.000378533,7649
0.000389667,7707
0.0004008,7858
0.000411933,8053
0.000423067,8072
0.0004342,8355
0.000445333,8413
0.000456467,8702
0.0004676,8728
0.000478733,8917
0.000489867,9129
0.000501,9165
0.000512133,9378
0.000523267,9506
0.0005344,9694
0.000545533,9852
0.000556667,9992
0.0005678,10043
0.000578933,10158
0.000590067,10249
0.0006012,10451
0.000612333,10479
0.000623467,10605
0.0006346,10584
0.000645733,10722
0.000656867,10932
0.000668,10832
0.000679133,10823
0.000690267,10869
0.0007014,10996
0.000712533,11023
0.000723667,11223
0.0007348,11103
0.000745933,11072
0.000757067,11027
0.0007682,11108
0.000779333,10985
0.000790467,10899
0.0008016,11042
0.000812733,10969
0.000823867,10933
0.000835,10900
0.000846133,11017
0.000857267,10970
0.0008684,10901
0.000879533,10950
0.000890667,10808
0.0009018,10642
0.000912933,10738
0.000924067,10590
0.0009352,10633
0.000946333,10678
0.000957467,10548
0.0009686,10691
0.000979733,10626
0.000990867,10557
0.001002,10604
0.00101313,10650
0.00102427,10529
0.0010354,10446
0.00104653,10467
0.00105767,10544
0.0010688,10496
0.00107993,10499
0.00109107,10397
0.0011022,10346
0.00111333,10376
0.00112447,10355
0.0011356,10375
0.00114673,10276
0.00115787,10324
0.001169,10049
0.00118013,10237
0.00119127,10093
0.0012024,10069
0.00121353,10099
0.00122467,10182
0.0012358,10114
0.00124693,10127
0.00125807,9985
0.0012692,10065
0.00128033,10098
0.00129147,9969
0.0013026,9962
0.00131373,10000
0.00132487,9922
0.001336,9896
0.00134713,9963
0.00135827,9993
0.0013694,9880
0.00138053,9757
0.00139167,9902
0.0014028,9915
0.00141393,9746
0.00142507,9766
0.0014362,9625
0.00144733,9716
0.00145847,9689
0.0014696,9847
0.00148073,9691
