shutter_time,counts
1.11333e-05,10
2.22667e-05,14
3.34e-05,5
4.45333e-05,7
5.56667e-05,10
6.68e-05,9
7.79333e-05,10
8.90667e-05,11
0.0001002,5
0.000111333,10
0.000122467,8
0.0001336,11
0.000144733,11
0.000155867,5
0.000167,12
0.000178133,8
0.000189267,7
0.0002004,8
0.000211533,11
0.000222667,11
0.0002338,10
0.000244933,6
0.000256067,3
0.0002672,13
0.000278333,10
0.000289467,11
0.0003006,9
0.000311733,12
0.000322867,13
0.000334,7
0.000345133,8
0.000356267,8
0.0003674,10
0.000378533,6
0.000389667,5
0.0004008,12
0.000411933,9
0.000423067,11
0.0004342,9
0.000445333,9
0.000456467,9
0.0004676,13
0.000478733,5
0.000489867,15
0.000501,11
0.000512133,15
0.000523267,10
0.0005344,8
0.000545533,8
0.000556667,13
0.0005678,8
0.000578933,16
0.000590067,12
0.0006012,9
0.000612333,5
0.000623467,19
0.0006346,10
0.000645733,10
0.000656867,19
0.000668,13
0.000679133,12
0.000690267,8
0.0007014,8
0.000712533,9
0.000723667,14
0.0007348,11
0.000745933,9
0.000757067,10
0.0007682,11
0.000779333,6
0.000790467,10
0.0008016,13
0.000812733,10
0.000823867,11
0.000835,15
0.000846133,12
0.000857267,14
0.0008684,8
0.000879533,4
0.000890667,14
0.0009018,14
0.000912933,11
0.000924067,8
0.0009352,12
0.000946333,8
0.000957467,17
0.0009686,11
0.000979733,6
0.000990867,10
0.001002,16
0.00101313,12
0.00102427,11
0.0010354,12
0.00104653,10
0.00105767,8
0.0010688,10
0.00107993,12
0.00109107,11
0.0011022,4
0.00111333,9
0.00112447,6
0.0011356,12
0.00114673,8
0.00115787,10
0.001169,15
0.00118013,7
0.00119127,17
0.0012024,11
0.00121353,8
0.00122467,12
0.0012358,13
0.00124693,13
0.00125807,10
0.0012692,7
0.00128033,12
0.00129147,6
0.0013026,9
0.00131373,8
0.00132487,14
0.001336,13
0.00134713,3
0.00135827,12
0.0013694,11
0.00138053,14
0.00139167,10
0.0014028,5
0.00141393,7
0.00142507,7
0.0014362,11
0.00144733,6
0.00145847,5
0.0014696,8
0.00148073,11
0.00149187,11
0.001503,7
0.00151413,8
0.00152527,6
0.0015364,12
0.00154753,9
0.00155867,15
0.0015698,10
0.00158093,14
0.00159207,9
0.0016032,17
0.00161433,7
0.00162547,8
0.0016366,17
0.00164773,11
0.00165887,10
0.00167,2
0.00168113,4
0.00169227,5
0.0017034,10
0.00171453,9
0.00172567,6
0.0017368,14
0.00174793,15
0.00175907,15
0.0017702,13
0.00178133,7
0.00179247,8
0.0018036,16
0.00181473,13
0.00182587,16
0.001837,7
0.00184813,18
0.00185927,9
0.0018704,13
0.00188153,15
0.00189267,12
0.0019038,14
0.00191493,15
0.00192607,14
0.0019372,13
0.00194833,15
0.00195947,11
0.0019706,14
0.00198173,16
0.00199287,21
0.002004,14
0.00201513,23
0.00202627,19
0.0020374,21
0.00204853,20
0.00205967,17
0.0020708,19
0.00208193,30
0.00209307,30
0.0021042,22
0.00211533,21
0.00212647,16
0.0021376,23
0.00214873,34
0.00215987,29
0.002171,40
0.00218213,33
0.00219327,41
0.0022044,40
0.00221553,33
0.00222667,29
0.0022378,32
0.00224893,41
0.00226007,47
0.0022712,34
0.00228233,37
0.00229347,38
0.0023046,34
0.00231573,35
0.00232687,23
0.002338,28
0.00234913,40
0.00236027,47
0.0023714,34
0.00238253,49
0.00239367,30
0.0024048,45
0.00241593,60
0.00242707,42
0.0024382,68
0.00244933,55
0.00246047,72
0.0024716,62
0.00248273,51
0.00249387,57
0.002505,45
0.00251613,56
0.00252727,73
0.0025384,56
0.00254953,61
0.00256067,82
0.0025718,71
0.00258293,82
0.00259407,68
0.0026052,65
0.00261633,85
0.00262747,80
0.0026386,72
0.00264973,75
0.00266087,82
0.002672,77
0.00268313,104
0.00269427,82
0.0027054,106
0.00271653,75
0.00272767,86
0.0027388,89
0.00274993,97
0.00276107,78
0.0027722,88
0.00278333,91
0.00279447,78
0.0028056,91
0.00281673,97
0.00282787,74
0.002839,102
0.00285013,120
0.00286127,90
0.0028724,106
0.00288353,115
0.00289467,84
0.0029058,104
0.00291693,115
0.00292807,116
0.0029392,117
0.00295033,111
0.00296147,85
0.0029726,123
0.00298373,112
0.00299487,141
0.003006,109
0.00301713,131
0.00302827,112
0.0030394,140
0.00305053,133
0.00306167,114
0.0030728,144
0.00308393,146
0.00309507,130
0.0031062,114
0.00311733,131
0.00312847,143
0.0031396,143
0.00315073,138
0.00316187,143
0.003173,141
0.00318413,143
0.00319527,139
0.0032064,130
0.00321753,161
0.00322867,134
0.0032398,144
0.00325093,135
0.00326207,164
0.0032732,140
0.00328433,146
0.00329547,153
0.0033066,152
0.00331773,159
0.00332887,161
0.00334,149
0.00335113,160
0.00336227,178
0.0033734,155
0.00338453,148
0.00339567,161
0.0034068,179
0.00341793,168
0.00342907,175
0.0034402,171
0.00345133,176
0.00346247,196
0.0034736,195
0.00348473,164
0.00349587,172
0.003507,195
0.00351813,185
0.00352927,174
0.0035404,180
0.00355153,152
0.00356267,186
0.0035738,202
0.00358493,164
0.00359607,191
0.0036072,202
0.00361833,197
0.00362947,203
0.0036406,216
0.00365173,193
0.00366287,168
0.003674,189
0.00368513,187
0.00369627,185
0.0037074,206
0.00371853,203
0.00372967,182
0.0037408,208
0.00375193,185
0.00376307,198
0.0037742,209
0.00378533,204
0.00379647,176
0.0038076,206
0.00381873,202
0.00382987,202
0.003841,201
0.00385213,223
0.00386327,201
0.0038744,184
0.00388553,192
0.00389667,194
0.0039078,192
